customer_city,lon,lat
Guaramirim,-49.00278,-26.47306
Caieiras,-46.74056,-23.36417
Vacaria,-50.93389,-28.51222
Capinzal do Norte,-44.25167,-4.74767
Parnamirim,-35.26278,-5.91556
Macedonia,-50.17318,-20.08825
Salinas,-42.29028,-16.17028
Vassouras,-43.6625,-22.40389
Campo Largo,-49.52833,-25.45861
Arapiraca,-36.66111,-9.7525
Manhuacu,-42.03361,-20.25806
Lavras da Mangabeira,-38.96444,-6.75333
Buritis,-63.96964,-10.09215
Serra,-40.30778,-20.12861
Ibira,-49.21879,-21.0888
Elias Fausto,-47.37389,-23.04278
Santa Fe do Sul,-50.92583,-20.21111
Erechim,-52.27389,-27.63417
Ubatuba,-45.07111,-23.43389
Taquaritinga,-48.50472,-21.40611
Fernandopolis,-50.24639,-20.28389
Bandeirantes,-50.3675,-23.11
Serro,-43.37944,-18.60472
Santos,-46.33361,-23.96083
Santa Luzia do Norte,-35.82917,-9.61082
Rio das Pedras,-47.60611,-22.84333
Francisco Sa,-43.48833,-16.47583
Florida,-51.97861,-23.11265
Sete Lagoas,-44.24667,-19.46583
Patrocinio do Muriae,-42.25572,-21.16714
Artur Nogueira,-47.1725,-22.57306
Sorriso,-55.69953,-12.68167
Curvelo,-44.43083,-18.75639
Chapadinha,-43.36028,-3.74167
Maringa,-51.93861,-23.42528
Boituva,-47.67222,-23.28333
Rio Grande,-52.09861,-32.035
Sao Luiz Gonzaga,-54.96083,-28.40833
Aruana,-50.94501,-14.8102
Santa Salete,-50.72826,-20.2736
Natividade,-41.97333,-21.04222
Jaboatao dos Guararapes,-35.01472,-8.11278
Santo Amaro da Imperatriz,-48.77861,-27.68806
Cedro de Sao Joao,-36.8883,-10.28046
Monsenhor Tabosa,-40.06725,-4.96764
Caxias do Sul,-51.17944,-29.16806
Ipumirim,-52.14024,-27.04778
Canaa dos Carajas,-50.09334,-6.49873
Carinhanha,-43.765,-14.30472
Balneário Rincão,-49.25,-28.83333
Caruaru,-35.97611,-8.28333
Caldas Novas,-48.625,-17.74167
Ibiruba,-53.08972,-28.6275
Serra dos Aimores,-40.27113,-17.75022
Andradina,-51.37944,-20.89611
Alfenas,-45.94722,-21.42917
Blumenau,-49.06611,-26.91944
Santo Angelo,-54.26306,-28.29917
Vertente do Lerio,-35.80318,-7.78986
Teofilo Otoni,-41.50528,-17.8575
Teresopolis,-42.96556,-22.41222
Sao Jose,-48.65841,-27.57977
